ZCTA,DATE,AVG,DP
90011,2014-02-09,15.672564983367902,12.031697212049885
90011,2014-02-10,16.25131130218505,11.074346504125923
90011,2014-02-11,16.78037548065185,10.804652902934185
90011,2014-02-12,19.017190456390402,11.18663790318294
90011,2014-02-13,18.894957542419398,11.774242585186016
90011,2014-02-14,18.246497631072998,10.797676048157712
90011,2014-02-15,18.35347509384155,11.333306172119373
90011,2014-02-16,17.762514114379847,12.17332116035707
90011,2014-02-17,15.4298915863037,10.3680251608801
90011,2014-02-18,16.0978331565857,12.639710977808559
90011,2014-02-19,15.389976501464849,11.279860636090715
90011,2014-02-20,18.8795428276062,9.115118588747226
90011,2014-02-21,19.100040435791,11.95017633262101
90011,2014-02-22,17.076143741607652,9.841179673536372
90011,2014-02-23,16.09129190444944,9.42524419615482
90011,2014-02-24,16.1317811012268,10.287900739417298
90011,2014-02-25,16.948058128356948,12.732145938741088
90011,2014-02-26,16.5004677772522,13.823632492876786
90011,2014-02-27,17.25596618652345,13.416967082860536
90011,2014-02-28,15.4044542312622,13.107173748922394
90011,2014-03-01,14.3063554763794,11.789154171161362
90011,2014-03-02,14.46433162689205,11.723343500154765
90011,2014-03-03,15.419995307922349,10.86667558805972
90011,2014-03-04,16.1091117858887,11.969110975356964
90011,2014-03-05,17.0240058898926,11.958045385679156
90011,2014-03-06,17.99682474136355,13.944847152810498
90011,2014-03-07,17.61692237854005,13.149248936096559
90011,2014-03-08,19.456468105316198,11.583027933525662
90011,2014-03-09,22.433913230896,14.72605140192464
90011,2014-03-10,20.13876056671145,13.525887125898972
90011,2014-03-11,18.84224796295165,12.233413562895883
90011,2014-03-12,19.68181371688845,12.10002625379154
90011,2014-03-13,17.6539764404297,13.259295222745955
90011,2014-03-14,16.382875919342048,10.26169796852548
90011,2014-03-15,19.5257935523987,9.589765857467174
90011,2014-03-16,22.5834240913391,10.860957141577135
90011,2014-03-17,18.74370670318605,10.914390983525356
90011,2014-03-18,18.867139339447,11.5182928866906
90011,2014-03-19,18.8119988441467,9.614673733657407
90011,2014-03-20,17.544528007507303,10.347496528515842
90011,2014-03-21,16.41042137145995,12.805627216561692
90011,2014-03-22,16.2966718673706,13.021077204970695
90011,2014-03-23,15.6716675758362,9.63469933096416
90011,2014-03-24,16.7691988945007,14.132238993674278
90011,2014-03-25,16.27085876464845,14.131833466855847
90011,2014-03-26,15.97719001770015,12.922612653401885
90011,2014-03-27,15.29297733306885,8.790362925553016
90011,2014-03-28,16.663216590881348,9.867764700371767
90011,2014-03-29,17.744637966156,8.11075922395753
90011,2014-03-30,17.409207820892348,11.337793761760889
90011,2014-03-31,15.2033109664917,9.404422559993613
90011,2014-04-01,13.80579948425295,10.046272217295337
90011,2014-04-02,13.139353752136227,8.33726450503434
90011,2014-04-03,14.238593578338609,5.9514705077123535
90011,2014-04-04,14.82470273971555,9.72351947056331
90011,2014-04-05,15.45787286758425,8.849464470502
90011,2014-04-06,18.20693683624265,6.403185873115591
90011,2014-04-07,21.3570604324341,7.778604816228599
90011,2014-04-08,22.9504132270813,9.012341367659674
90011,2014-04-09,22.16620349884035,8.129743545764105
90011,2014-04-10,18.72887468338015,7.005731641044224
90011,2014-04-11,19.22136545181275,9.09068254471942
90011,2014-04-12,16.837618350982652,12.968632756779682
90011,2014-04-13,16.4773097038269,12.544259552124077
90011,2014-04-14,18.3785662651062,6.565272843241798
90011,2014-04-15,17.8748812675476,9.650610931099315
90011,2014-04-16,17.9073657989502,11.128902852149169
90011,2014-04-17,17.8866648674011,12.927892327544802
90011,2014-04-18,18.80745315551755,13.459348340044833
90011,2014-04-19,17.88330030441285,10.281467709576686
90011,2014-04-20,18.99036931991575,10.270573014941068
90011,2014-04-21,19.1975345611572,9.89264471239791
90011,2014-04-22,18.02912139892575,12.25546711350944
90011,2014-04-23,17.5296387672424,9.149406754368128
90011,2014-04-24,19.04629945755005,7.533345900499108
90011,2014-04-25,17.400415420532198,11.442006311690982
90011,2014-04-26,15.55990600585935,7.934319999144685
90011,2014-04-27,16.450466632843,8.688525999982827
90011,2014-04-28,19.167697429657,7.5047106092507665
90011,2014-04-29,24.16378307342525,7.572783327699084
90011,2014-04-30,25.10803413391115,10.511219932831171
90011,2014-05-01,25.45462799072265,10.742680676145095
90011,2014-05-02,25.69410133361815,9.525286074594819
90011,2014-05-03,23.951661109924302,10.894584982362828
90011,2014-05-04,21.0062804222107,9.687621736513332
90011,2014-05-05,18.34114837646485,11.659816624293958
90011,2014-05-06,16.60122680664065,11.240505976132798
90011,2014-05-07,16.65350246429445,11.175833649540127
90011,2014-05-08,17.320221424102748,10.491217819801046
90011,2014-05-09,17.52263259887695,9.817864681975056
90011,2014-05-10,18.44257736206055,11.043915580689387
90011,2014-05-11,21.922760486602748,7.38126723891268
90011,2014-05-12,23.8579502105713,7.351916482731357
90011,2014-05-13,26.868612289428704,10.06307503000153
90011,2014-05-14,27.90292644500735,8.990256641631277
90011,2014-05-15,29.5973196029663,12.05196124191339
90011,2014-05-16,27.02359676361085,12.514331441718669
90011,2014-05-17,22.81870555877685,12.445514095092944
90011,2014-05-18,20.7083444595337,14.863917558277686
90011,2014-05-19,19.715410232543952,14.525625620716
90011,2014-05-20,17.977750301361098,13.038067353928918
90011,2014-05-21,18.0382089614868,11.671995008685583
90011,2014-05-22,17.930521965026898,13.130370130538079
90011,2014-05-23,18.84749603271485,16.107061451479865
90011,2014-05-24,18.57710361480715,16.072728972977647
90011,2014-05-25,20.7384843826294,14.30077439841658
90011,2014-05-26,21.4086046218872,12.305534244288593
90011,2014-05-27,22.04623317718505,12.865004805011887
90011,2014-05-28,21.79718017578125,14.426084272892401
